epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1496.93,0.7867,0.28302,0.01309,0.9839,0.97931,0.99296,0.8034,0.7618,0.24548,0.01838,0.000971133,0.000971133,0.000971133
43,1531.69,0.77212,0.32567,0.01299,0.97952,0.98948,0.99367,0.81232,0.74615,0.22475,0.01753,0.000932325,0.000932325,0.000932325
44,1565.14,0.78824,0.32126,0.01361,0.97864,0.9931,0.99396,0.83463,0.67167,0.19937,0.01606,0.000893638,0.000893638,0.000893638
45,1612.55,0.78137,0.32023,0.01307,1,0.99876,0.995,0.78766,0.82548,0.22411,0.01971,0.00085513,0.00085513,0.00085513
46,1656.78,0.74539,0.31456,0.01258,0.99291,0.98621,0.99419,0.84535,0.65926,0.20904,0.01591,0.000816861,0.000816861,0.000816861
47,1701.21,0.73763,0.29393,0.01286,0.9641,1,0.99398,0.83928,0.68022,0.20545,0.01652,0.000778889,0.000778889,0.000778889
48,1745.61,0.73211,0.28808,0.01282,0.97617,0.9931,0.9941,0.83546,0.66311,0.19748,0.01597,0.000741274,0.000741274,0.000741274
49,1789.91,0.66766,0.25498,0.01134,0.98535,1,0.99486,0.80482,0.75883,0.21236,0.01875,0.000704073,0.000704073,0.000704073
50,1833.73,0.70906,0.26668,0.01187,0.99309,0.99047,0.99472,0.86136,0.5835,0.17685,0.01376,0.000667344,0.000667344,0.000667344
51,1877.37,0.72456,0.27167,0.01202,0.9862,0.98569,0.99452,0.79616,0.77554,0.22399,0.01897,0.000631143,0.000631143,0.000631143
52,1920.15,0.70679,0.27626,0.01187,0.98435,1,0.99479,0.82823,0.7088,0.20461,0.01689,0.000595527,0.000595527,0.000595527
53,1960.91,0.70204,0.27115,0.01216,0.97972,0.99954,0.99397,0.86151,0.59512,0.18106,0.01419,0.000560549,0.000560549,0.000560549
54,2002.73,0.67609,0.27564,0.01143,0.97366,0.97931,0.9939,0.83875,0.65211,0.21692,0.01545,0.000526265,0.000526265,0.000526265
55,2043.67,0.67907,0.28433,0.01142,0.98618,0.9843,0.99322,0.83665,0.64639,0.21389,0.01506,0.000492726,0.000492726,0.000492726
56,2080.99,0.66372,0.27081,0.0109,0.99304,0.9842,0.99459,0.83861,0.66432,0.20519,0.01582,0.000459985,0.000459985,0.000459985
57,2117.3,0.63693,0.25787,0.01086,0.99302,1,0.995,0.83926,0.66112,0.17779,0.01545,0.000428093,0.000428093,0.000428093
58,2148.19,0.65883,0.24945,0.01116,0.99314,0.99897,0.99466,0.83599,0.67178,0.18833,0.01581,0.000397097,0.000397097,0.000397097
59,2178.8,0.6569,0.26493,0.01071,0.9931,0.99218,0.99486,0.85651,0.59103,0.17423,0.01393,0.000367046,0.000367046,0.000367046
60,2210.78,0.62124,0.24303,0.0105,0.97675,0.9931,0.99452,0.85581,0.60545,0.18444,0.01417,0.000337987,0.000337987,0.000337987
61,2244.85,0.63683,0.24687,0.01075,0.99304,0.98446,0.99452,0.83865,0.63478,0.19566,0.01513,0.000309964,0.000309964,0.000309964
62,2277.39,0.64466,0.24603,0.01057,0.97846,1,0.99459,0.8178,0.72766,0.20871,0.01728,0.000283021,0.000283021,0.000283021
63,2309.3,0.65282,0.25844,0.0112,0.99272,1,0.99486,0.85846,0.6036,0.17427,0.01435,0.000257198,0.000257198,0.000257198
64,2340.52,0.62544,0.23663,0.01055,0.99103,1,0.99473,0.86488,0.56545,0.16575,0.01322,0.000232536,0.000232536,0.000232536
65,2371.72,0.63026,0.25086,0.01058,0.9914,1,0.99466,0.82888,0.66936,0.19712,0.01577,0.000209073,0.000209073,0.000209073
66,2400.99,0.6366,0.24648,0.01047,0.9912,1,0.99479,0.84534,0.60003,0.17807,0.01433,0.000186845,0.000186845,0.000186845
67,2430.43,0.60793,0.23797,0.01034,0.9849,1,0.99466,0.85683,0.5811,0.17288,0.0136,0.000165886,0.000165886,0.000165886
68,2461.3,0.61773,0.26152,0.01038,0.9931,0.99273,0.99479,0.85352,0.59998,0.17794,0.01418,0.000146229,0.000146229,0.000146229
69,2490.32,0.58767,0.22097,0.00995,0.98602,1,0.99486,0.85731,0.58819,0.17576,0.0138,0.000127904,0.000127904,0.000127904
70,2519.44,0.597,0.22713,0.01012,0.97971,0.99901,0.99445,0.85353,0.60216,0.18154,0.01413,0.000110938,0.000110938,0.000110938
71,2585.33,0.46679,0.1531,0.00976,0.98464,0.9931,0.99424,0.8584,0.59923,0.1916,0.01411,9.53593e-05,9.53593e-05,9.53593e-05
72,2614.36,0.44919,0.14982,0.00973,0.98616,0.98295,0.99404,0.86621,0.55988,0.18334,0.01309,8.11906e-05,8.11906e-05,8.11906e-05
73,2643.5,0.44964,0.14116,0.00947,0.97891,1,0.99432,0.8594,0.58415,0.18508,0.01374,6.8454e-05,6.8454e-05,6.8454e-05
74,2671.85,0.46032,0.15254,0.00982,0.98488,0.9931,0.99424,0.85666,0.59853,0.1841,0.01401,5.71693e-05,5.71693e-05,5.71693e-05
75,2700.6,0.44553,0.1472,0.00928,0.98639,0.99961,0.99473,0.84878,0.61223,0.18363,0.0144,4.73538e-05,4.73538e-05,4.73538e-05
76,2728.79,0.44605,0.14196,0.00955,0.97968,0.99729,0.99425,0.8547,0.59465,0.189,0.01395,3.90226e-05,3.90226e-05,3.90226e-05
77,2757.63,0.44444,0.14584,0.00954,0.97867,1,0.99445,0.85673,0.594,0.18294,0.01398,3.21885e-05,3.21885e-05,3.21885e-05
78,2788.76,0.44016,0.1381,0.00928,0.97313,0.99909,0.99438,0.85399,0.58482,0.18105,0.01378,2.68622e-05,2.68622e-05,2.68622e-05
79,2817.29,0.42684,0.14002,0.00914,0.97971,0.99917,0.99473,0.85806,0.59873,0.18172,0.01409,2.30518e-05,2.30518e-05,2.30518e-05
80,2847.26,0.4346,0.13786,0.00935,0.97952,1,0.99431,0.85823,0.59345,0.18453,0.01394,2.07633e-05,2.07633e-05,2.07633e-05
